word,source_detail,pos,level,meaning
bow1,"v., n. C1",동사·명사,C1,활1
breach,"n., v. C1",명사·동사,C1,위반
breakdown,n. C1,명사,C1,고장
breakthrough,n. C1,명사,C1,획기적인
breed,"v., n. C1",동사·명사,C1,번식하다
brick,n. B2,명사,B2,벽돌
briefly,adv. B2,부사,B2,간단히
broadband,n. C1,명사,C1,광대역
broadcaster,n. B2,명사,B2,방송인
broadly,adv. B2,부사,B2,광범위하게
browser,n. C1,명사,C1,브라우저
brutal,adj. C1,형용사,C1,잔인한
buck,n. B2,명사,B2,책임
buddy,n. C1,명사,C1,친구
buffer,n. C1,명사,C1,버퍼
bug,n. B2,명사,B2,버그
bulk,n. C1,명사,C1,대량
burden,n. C1,명사,C1,부담
bureaucracy,n. C1,명사,C1,관료제
burial,n. C1,명사,C1,매장
burst,v. C1,동사,C1,터지다
cabin,n. B2,명사,B2,선실
cabinet,n. C1,명사,C1,캐비닛
calculation,n. C1,명사,C1,계산
canal,n. B2,명사,B2,운하
candle,n. B2,명사,B2,양초
canvas,n. C1,명사,C1,캔버스
capability,n. C1,명사,C1,능력
capitalism,n. C1,명사,C1,자본주의
capitalist,adj. C1,형용사,C1,자본주의자
carbon,n. B2,명사,B2,탄소
cargo,n. C1,명사,C1,화물
carriage,n. C1,명사,C1,마차
carve,v. C1,동사,C1,새기다
casino,n. C1,명사,C1,카지노
castle,n. B2,명사,B2,성
casual,adj. B2,형용사,B2,캐주얼
casualty,n. C1,명사,C1,사상자
catalog,n. C1,명사,C1,카탈로그
cater,v. C1,동사,C1,음식을 제공하다
cattle,n. C1,명사,C1,소
caution,n. C1,명사,C1,주의
cautious,adj. C1,형용사,C1,신중한
cave,n. B2,명사,B2,동굴
cease,v. C1,동사,C1,그만하다
cemetery,n. C1,명사,C1,묘지
certainty,n. B2,명사,B2,확실성
certificate,n. B2,명사,B2,인증서
challenging,adj. B2,형용사,B2,도전적인
chamber,n. C1,명사,C1,챔버
championship,n. B2,명사,B2,선수권 대회
chaos,n. C1,명사,C1,혼돈
characterize,v. C1,동사,C1,특성화하다
charm,n. C1,명사,C1,매력
charming,adj. B2,형용사,B2,매력적인
charter,n. C1,명사,C1,헌장
chase,"v., n. B2",동사·명사,B2,추적
cheek,n. B2,명사,B2,뺨
cheer,"v., n. B2",동사·명사,B2,응원하다
choir,n. C1,명사,C1,합창단
chop,v. B2,동사,B2,자르다
chronic,adj. C1,형용사,C1,만성
chunk,n. C1,명사,C1,덩어리
circuit,n. B2,명사,B2,회로
circulate,v. C1,동사,C1,순환하다
circulation,n. C1,명사,C1,순환
citizenship,n. C1,명사,C1,시민권
civic,adj. C1,형용사,C1,시민
civilian,"n., adj. C1",명사·형용사,C1,민간인
civilization,n. B2,명사,B2,문명
clarify,v. B2,동사,B2,명확하게 하다
clarity,n. C1,명사,C1,명확성
clash,n. C1,명사,C1,충돌
classification,n. C1,명사,C1,분류
classify,v. B2,동사,B2,분류하다
cliff,n. B2,명사,B2,절벽
cling,v. C1,동사,C1,달라붙다
clinic,n. B2,명사,B2,진료소
clinical,adj. C1,형용사,C1,임상
clip,n. B2,명사,B2,클립
closure,n. C1,명사,C1,폐쇄
cluster,n. C1,명사,C1,클러스터
coalition,n. C1,명사,C1,연합
coastal,adj. C1,형용사,C1,해안
cocktail,n. C1,명사,C1,칵테일
cognitive,adj. C1,형용사,C1,인지
coincide,v. C1,동사,C1,일치하다
coincidence,n. B2,명사,B2,우연의 일치
collaborate,v. C1,동사,C1,협력하다
collaboration,n. C1,명사,C1,협업
collective,adj. C1,형용사,C1,집단
collector,n. B2,명사,B2,수집가
collision,n. C1,명사,C1,충돌
colonial,adj. C1,형용사,C1,식민지 시대의
colony,n. B2,명사,B2,식민지
colorful,adj. B2,형용사,B2,화려한
columnist,n. C1,명사,C1,칼럼니스트
combat,"n., v. C1",명사·동사,C1,전투; 싸우다
comic,"adj., n. B2",형용사·명사,B2,만화
commander,n. B2,명사,B2,사령관
commence,v. C1,동사,C1,시작하다
commentary,n. C1,명사,C1,해설
commentator,n. C1,명사,C1,해설자
commerce,n. C1,명사,C1,상업
commissioner,n. C1,명사,C1,위원
commodity,n. C1,명사,C1,상품
communist,adj. C1,형용사,C1,공산주의자
companion,n. C1,명사,C1,동반자
comparable,adj. C1,형용사,C1,비교할 만한
comparative,adj. B2,형용사,B2,비교
compassion,n. C1,명사,C1,연민
compel,v. C1,동사,C1,강요하다
compelling,adj. C1,형용사,C1,설득력 있는
compensate,v. C1,동사,C1,보상하다
compensation,n. C1,명사,C1,보상
competence,n. C1,명사,C1,역량
competent,adj. C1,형용사,C1,유능한
compile,v. C1,동사,C1,컴파일하다
complement,v. C1,동사,C1,보완하다
completion,n. B2,명사,B2,완성
complexity,n. C1,명사,C1,복잡성
compliance,n. C1,명사,C1,규정 준수
complication,n. C1,명사,C1,합병증
comply,v. C1,동사,C1,준수하다
compose,v. B2,동사,B2,작곡하다
composer,n. B2,명사,B2,작곡가
composition,n. C1,명사,C1,구성
compound,n. B2,명사,B2,화합물
comprehensive,adj. B2,형용사,B2,포괄적인
comprise,v. B2,동사,B2,구성하다
compromise,"n., v. C1",명사·동사,C1,타협
compulsory,adj. B2,형용사,B2,의무적인
compute,v. C1,동사,C1,계산하다
conceal,v. C1,동사,C1,숨기다
concede,v. C1,동사,C1,양보하다
conceive,v. C1,동사,C1,임신하다
conception,n. C1,명사,C1,임신
concession,n. C1,명사,C1,양보
concrete,"adj., n. B2",형용사·명사,B2,콘크리트
condemn,v. C1,동사,C1,비난하다
confer,v. C1,동사,C1,수여하다
confess,v. B2,동사,B2,고백하다
confession,n. C1,명사,C1,고백
configuration,n. C1,명사,C1,구성
confine,v. C1,동사,C1,가두다
confirmation,n. C1,명사,C1,확인
confront,v. C1,동사,C1,직면하다
confrontation,n. C1,명사,C1,대결
confusion,n. B2,명사,B2,혼란
congratulate,v. C1,동사,C1,축하하다
congregation,n. C1,명사,C1,회중
congressional,adj. C1,형용사,C1,의회
conquer,v. C1,동사,C1,정복하다
conscience,n. C1,명사,C1,양심
consciousness,n. C1,명사,C1,의식
consecutive,adj. C1,형용사,C1,연속적인
consensus,n. C1,명사,C1,합의
consent,"n., v. C1",명사·동사,C1,동의
consequently,adv. B2,부사,B2,결과적으로
conservation,n. B2,명사,B2,보존
conserve,v. C1,동사,C1,절약하다
considerable,adj. B2,형용사,B2,상당한
considerably,adv. B2,부사,B2,상당히
consistency,n. C1,명사,C1,일관성
consistently,adv. B2,부사,B2,꾸준히
consolidate,v. C1,동사,C1,통합하다
conspiracy,n. B2,명사,B2,음모
constitute,v. C1,동사,C1,구성하다
constitution,n. C1,명사,C1,헌법
constitutional,adj. C1,형용사,C1,헌법상의
constraint,n. C1,명사,C1,제약
consult,v. B2,동사,B2,상담하다
consultant,n. B2,명사,B2,컨설턴트
consultation,n. C1,명사,C1,상담
consumption,n. B2,명사,B2,소비
contemplate,v. C1,동사,C1,숙고하다
contempt,n. C1,명사,C1,경멸
contend,v. C1,동사,C1,논쟁하다
contender,n. C1,명사,C1,경쟁자
content2,adj. C1,형용사,C1,콘텐츠2
contention,n. C1,명사,C1,논쟁
continually,adv. C1,부사,C1,지속적으로
contractor,n. C1,명사,C1,계약자
contradiction,n. C1,명사,C1,모순
contrary,"adj., n. C1",형용사·명사,C1,반대로
contributor,n. C1,명사,C1,기여자
controversial,adj. B2,형용사,B2,논쟁의 여지가 있는
controversy,n. B2,명사,B2,논쟁
convenience,n. B2,명사,B2,편리함
convention,n. B2,명사,B2,컨벤션
conventional,adj. B2,형용사,B2,기존의
conversion,n. C1,명사,C1,전환
convey,v. B2,동사,B2,전달하다
convict,v. C1,동사,C1,죄수
conviction,n. C1,명사,C1,신념
convincing,adj. B2,형용사,B2,설득력 있는
cooperate,v. C1,동사,C1,협력하다
cooperative,adj. C1,형용사,C1,협동조합
coordinate,v. C1,동사,C1,좌표
coordination,n. C1,명사,C1,조정
coordinator,n. C1,명사,C1,코디네이터
cop,n. B2,명사,B2,경찰
cope,v. B2,동사,B2,대처하다
copper,n. C1,명사,C1,구리
copyright,n. C1,명사,C1,저작권
corporation,n. B2,명사,B2,법인
correction,n. C1,명사,C1,교정
correlate,v. C1,동사,C1,상관시키다
correlation,n. C1,명사,C1,상관관계
correspond,v. C1,동사,C1,대응하다
correspondence,n. C1,명사,C1,서신
correspondent,n. C1,명사,C1,특파원
corresponding,adj. C1,형용사,C1,해당
corridor,n. B2,명사,B2,복도
corrupt,adj. C1,형용사,C1,부패한
corruption,n. C1,명사,C1,부패
costly,adj. C1,형용사,C1,비용이 많이 드는
councilor,n. C1,명사,C1,참의원
counseling,n. C1,명사,C1,상담
counselor,n. C1,명사,C1,상담사
counter (long flat surface),n. B2,명사,B2,카운터(길고 평평한 표면)
counter (argue against),v. C1,동사,C1,반대하다 (반대하다)
counterpart,n. C1,명사,C1,상대방
countless,adj. C1,형용사,C1,셀 수 없이 많은
coup,n. C1,명사,C1,쿠데타
courtesy,n. C1,명사,C1,예의
coverage,n. B2,명사,B2,적용 범위
cowboy,n. B2,명사,B2,카우보이
crack,"v., n. B2",동사·명사,B2,균열
craft,"n. B2, v. C1",명사 / 동사,B2 / C1,공예
crawl,v. C1,동사,C1,크롤링
creativity,n. B2,명사,B2,창의성
creator,n. C1,명사,C1,창조자
credibility,n. C1,명사,C1,신뢰성
credible,adj. C1,형용사,C1,믿을 수 있는
creep,v. C1,동사,C1,크리프
critically,adv. B2,부사,B2,비판적으로
critique,n. C1,명사,C1,비판
crown,n. C1,명사,C1,왕관
crude,adj. C1,형용사,C1,조잡한
cruise,"n., v. B2",명사·동사,B2,크루즈
crush,v. C1,동사,C1,으깨다
crystal,n. C1,명사,C1,크리스탈
cue,n. B2,명사,B2,큐
cult,"n., adj. C1",명사·형용사,C1,컬트
cultivate,v. C1,동사,C1,기르다
curiosity,n. C1,명사,C1,호기심
curious,adj. B2,형용사,B2,호기심
curriculum,n. B2,명사,B2,커리큘럼
custody,n. C1,명사,C1,양육권
cute,adj. B2,형용사,B2,귀엽다
cutting,n. C1,명사,C1,절단
cynical,adj. C1,형용사,C1,냉소적인
dairy,"n., adj. B2",명사·형용사,B2,유제품
dam,n. C1,명사,C1,댐
damaging,adj. C1,형용사,C1,해로운
dare,v. B2,동사,B2,감히
darkness,n. B2,명사,B2,어둠
database,n. B2,명사,B2,데이터베이스
dawn,n. C1,명사,C1,새벽
deadline,n. B2,명사,B2,마감일
deadly,adj. B2,형용사,B2,치명적인
dealer,n. B2,명사,B2,딜러
debris,n. C1,명사,C1,잔해
debut,n. C1,명사,C1,데뷔
decision-making,n. C1,명사,C1,의사결정
decisive,adj. C1,형용사,C1,결정적인
deck,n. B2,명사,B2,갑판
declaration,n. C1,명사,C1,선언
dedicated,adj. C1,형용사,C1,헌신적인
dedication,n. C1,명사,C1,헌신
deed,n. C1,명사,C1,증서
deem,v. C1,동사,C1,생각하다
default,n. C1,명사,C1,기본값
defect,n. C1,명사,C1,결함
defender,n. B2,명사,B2,수비수
defensive,adj. C1,형용사,C1,방어적인
deficiency,n. C1,명사,C1,결핍
deficit,n. C1,명사,C1,적자
defy,v. C1,동사,C1,도전하다
delegate,n. C1,명사,C1,대리인
delegation,n. C1,명사,C1,위임
delete,v. B2,동사,B2,삭제
delicate,adj. C1,형용사,C1,섬세한
delighted,adj. B2,형용사,B2,기뻐하다
democracy,n. B2,명사,B2,민주주의
democratic,adj. B2,형용사,B2,민주적인
demon,n. C1,명사,C1,악마
demonstration,n. B2,명사,B2,데모
denial,n. C1,명사,C1,부정
denounce,v. C1,동사,C1,비난하다
dense,adj. C1,형용사,C1,조밀한
density,n. C1,명사,C1,밀도
depart,v. B2,동사,B2,출발하다
dependence,n. C1,명사,C1,의존
dependent,adj. B2,형용사,B2,종속
depict,v. C1,동사,C1,묘사하다
deploy,v. C1,동사,C1,배포
deployment,n. C1,명사,C1,배포
deposit,"n., v. B2",명사·동사,B2,예금
depression,n. B2,명사,B2,우울증
deprive,v. C1,동사,C1,박탈하다
deputy,n. C1,명사,C1,대리인
derive,v. B2,동사,B2,파생하다
descend,v. C1,동사,C1,하강하다
descent,n. C1,명사,C1,하강
designate,v. C1,동사,C1,지정하다
desirable,adj. C1,형용사,C1,바람직한
desktop,n. C1,명사,C1,데스크탑
desperately,adv. B2,부사,B2,필사적으로
destruction,n. B2,명사,B2,파괴
destructive,adj. C1,형용사,C1,파괴적인
detain,v. C1,동사,C1,억류
detection,n. C1,명사,C1,탐지
detention,n. C1,명사,C1,구금
deteriorate,v. C1,동사,C1,악화하다
determination,n. B2,명사,B2,결심
devastate,v. C1,동사,C1,황폐화하다
devil,n. C1,명사,C1,악마
devise,v. C1,동사,C1,궁리하다
devote,v. B2,동사,B2,헌신하다
diagnose,v. C1,동사,C1,진단하다
diagnosis,n. C1,명사,C1,진단
dictate,v. C1,동사,C1,지시하다
dictator,n. C1,명사,C1,독재자
differ,v. B2,동사,B2,다르다
differentiate,v. C1,동사,C1,차별화하다
dignity,n. C1,명사,C1,존엄성
dilemma,n. C1,명사,C1,딜레마
dime,n. B2,명사,B2,다임
dimension,n. C1,명사,C1,차원
diminish,v. C1,동사,C1,감소시키다
dip,v. C1,동사,C1,딥
diplomat,n. C1,명사,C1,외교관
diplomatic,n. C1,명사,C1,외교적
directory,n. C1,명사,C1,디렉토리
disability,n. B2,명사,B2,장애
disabled,adj. B2,형용사,B2,장애인
disagreement,n. B2,명사,B2,불일치
disappoint,v. B2,동사,B2,실망시키다
disappointment,n. B2,명사,B2,실망
disastrous,adj. C1,형용사,C1,비참한
discard,v. C1,동사,C1,버리다
discharge,v. C1,동사,C1,퇴원
disclose,v. C1,동사,C1,공개하다
disclosure,n. C1,명사,C1,공개
discourage,v. B2,동사,B2,낙담시키다
discourse,n. C1,명사,C1,담론
discretion,n. C1,명사,C1,재량권
discrimination,n. C1,명사,C1,차별
dismissal,n. C1,명사,C1,해고
disorder,n. B2,명사,B2,무질서
displace,v. C1,동사,C1,대체하다
disposal,n. C1,명사,C1,처분
dispose,v. C1,동사,C1,처분하다
dispute,"n., v. C1",명사·동사,C1,분쟁
disrupt,v. C1,동사,C1,방해하다
disruption,n. C1,명사,C1,혼란
dissolve,v. C1,동사,C1,용해하다
distant,adj. B2,형용사,B2,먼
distinct,adj. B2,형용사,B2,별개의
distinction,n. C1,명사,C1,구별
distinctive,adj. C1,형용사,C1,독특한
distinguish,v. B2,동사,B2,구별하다
distort,v. C1,동사,C1,왜곡하다
distract,v. B2,동사,B2,주의를 산만하게 하다
distress,"n., v. C1",명사·동사,C1,고민
disturb,v. B2,동사,B2,방해하다
disturbing,adj. C1,형용사,C1,방해하는
dive,"v., n. B2",동사·명사,B2,다이빙
diverse,adj. B2,형용사,B2,다양한
diversity,n. B2,명사,B2,다양성
divert,v. C1,동사,C1,방향을 바꾸다
divine,adj. C1,형용사,C1,신성한
divorce,"n., v. B2",명사·동사,B2,이혼
doctrine,n. C1,명사,C1,교리
documentation,n. C1,명사,C1,문서화
domain,n. C1,명사,C1,도메인
dominance,n. C1,명사,C1,지배력
dominant,adj. B2,형용사,B2,지배적인
donation,n. B2,명사,B2,기부
donor,n. C1,명사,C1,기증자
dose,n. C1,명사,C1,복용량
dot,n. B2,명사,B2,점
drain,v. C1,동사,C1,배수구
dramatically,adv. B2,부사,B2,극적으로
drift,v. C1,동사,C1,드리프트
driving,adj. C1,형용사,C1,운전
drought,n. B2,명사,B2,가뭄
drown,v. C1,동사,C1,익사하다
dual,adj. C1,형용사,C1,듀얼
dub,v. C1,동사,C1,더빙
dull,adj. B2,형용사,B2,둔한
dumb,adj. C1,형용사,C1,멍청하다
dump,v. B2,동사,B2,덤프
duo,n. C1,명사,C1,듀오
duration,n. B2,명사,B2,기간
dynamic,"adj. B2, n. C1",형용사 / 명사,B2 / C1,역동적인; 동력
eager,adj. B2,형용사,B2,열망하는
earnings,n. C1,명사,C1,수입
ease,"n., v. C1",명사·동사,C1,수월함; 완화하다
echo,"v., n. C1",동사·명사,C1,에코
ecological,adj. C1,형용사,C1,생태학적
economics,n. B2,명사,B2,경제학
economist,n. B2,명사,B2,경제학자
editorial,adj. B2,형용사,B2,사설
educator,n. C1,명사,C1,교육자
effectiveness,n. C1,명사,C1,효율성
efficiency,n. C1,명사,C1,효율성
efficiently,adv. B2,부사,B2,효율적으로
ego,n. C1,명사,C1,자아
elaborate,adj. C1,형용사,C1,정교하게
elbow,n. B2,명사,B2,팔꿈치
electoral,adj. C1,형용사,C1,선거인
electronics,n. B2,명사,B2,전자 제품
elegant,adj. B2,형용사,B2,우아한
elementary,adj. B2,형용사,B2,초등학교
elevate,v. C1,동사,C1,높이다
eligible,adj. C1,형용사,C1,적격
eliminate,v. B2,동사,B2,제거하다
elite,n. C1,명사,C1,엘리트
embark,v. C1,동사,C1,착수하다
embarrassment,n. C1,명사,C1,당혹스러움
embassy,n. C1,명사,C1,대사관
embed,v. C1,동사,C1,삽입하다
embody,v. C1,동사,C1,구현하다
embrace,v. B2,동사,B2,포옹
emergence,n. C1,명사,C1,출현
emission,n. B2,명사,B2,방출
emotionally,adv. B2,부사,B2,감정적으로
empire,n. B2,명사,B2,제국
empirical,adj. C1,형용사,C1,경험적
empower,v. C1,동사,C1,권한을 부여하다
enact,v. C1,동사,C1,제정하다
encompass,v. C1,동사,C1,포위하다
encouragement,n. C1,명사,C1,격려
encouraging,adj. C1,형용사,C1,격려하는
endeavor,n. C1,명사,C1,노력하다
endless,adj. C1,형용사,C1,끝없는
endorse,v. C1,동사,C1,지지하다
endorsement,n. C1,명사,C1,보증
endure,v. C1,동사,C1,견디다
enforce,v. C1,동사,C1,집행하다
enforcement,n. C1,명사,C1,집행
engagement,n. C1,명사,C1,약혼
engaging,adj. C1,형용사,C1,매력적인
enjoyable,adj. B2,형용사,B2,즐거운
enrich,v. C1,동사,C1,풍성하게하다
enroll,v. C1,동사,C1,등록하다
ensue,v. C1,동사,C1,계속되다
enterprise,n. C1,명사,C1,기업
entertaining,adj. B2,형용사,B2,재미있는
enthusiast,n. C1,명사,C1,열성팬
entitle,v. C1,동사,C1,자격을 부여하다
entity,n. C1,명사,C1,엔터티
entrepreneur,n. B2,명사,B2,기업가
envelope,n. B2,명사,B2,봉투
epidemic,n. C1,명사,C1,전염병
equality,n. C1,명사,C1,평등
equation,n. C1,명사,C1,방정식
equip,v. B2,동사,B2,갖추다
equivalent,"n., adj. B2",명사·형용사,B2,동등한
era,n. B2,명사,B2,시대
erect,v. C1,동사,C1,직립하다
erupt,v. B2,동사,B2,분출하다
escalate,v. C1,동사,C1,에스컬레이션
essence,n. C1,명사,C1,본질
essentially,adv. B2,부사,B2,본질적으로
establishment,n. C1,명사,C1,설립
eternal,adj. C1,형용사,C1,영원한
ethic,n. B2,명사,B2,윤리
ethnic,adj. B2,형용사,B2,민족
evacuate,v. C1,동사,C1,대피하다
evaluation,n. B2,명사,B2,평가
evident,adj. B2,형용사,B2,명백한
evoke,v. C1,동사,C1,불러일으키다
evolution,n. B2,명사,B2,진화
evolutionary,adj. C1,형용사,C1,진화론적인
evolve,v. B2,동사,B2,진화하다
exaggerate,v. C1,동사,C1,과장하다
exceed,v. B2,동사,B2,초과하다
excellence,n. C1,명사,C1,우수성
